Table  Time-based BUFR (0309052) at End
                  BUFR Data                     
TIME    PRES.   HGT/MSL  TEMP.   RH     DEWP   W.D    W.S     8042      
Sec      mb      Meter     °C      %      °C    Deg.  Knots   Code Table
------------------------------------------------------------------------
   0  1010.6      45     26.0     92     24.6    010    1.5   145408
   5  1006.4      84     25.8     85     23.0    339    6.9        0
  10  1003.5     108     25.8     82     22.5    346    6.7        0
  15  1000.8     131     25.9     82     22.7    355    6.6     2048
  17  1000.0     138     25.9     82     22.7    356    6.5    65536
  19   998.6     151     26.0     82     22.8    358    6.5     8192
  20   998.3     153     25.9     82     22.8    359    6.5        0
  25   996.1     173     25.8     83     22.7    002    6.5        0
  28   994.7     185     25.7     83     22.6    005    6.6     2048
  30   993.8     193     25.6     83     22.5    005    6.4        0
  35   991.2     216     25.4     83     22.4    008    6.2        0
  40   988.4     242     25.2     84     22.3    011    5.9        0
  45   985.7     265     25.1     84     22.3    014    5.7        0
  50   983.1     289     24.8     85     22.2    017    5.6        0
  52   981.8     300     24.7     85     22.1    019    5.6     2048
  55   980.5     312     24.6     86     22.1    021    5.6        0
  60   977.7     337     24.4     86     22.0    024    5.5        0
  65   974.8     364     24.2     87     21.9    028    5.5        0
  70   971.7     391     23.9     88     21.8    034    5.5        0
  75   968.6     419     23.7     88     21.7    039    5.6        0
  80   965.5     450     23.6     89     21.7    045    5.6        0
  85   962.6     475     23.5     89     21.6    050    5.7        0
  90   960.1     497     23.4     89     21.5    051    5.7        0
  95   957.5     521     23.3     88     21.3    052    5.6        0
 100   954.6     547     23.1     88     21.0    052    5.6        0
 105   951.8     574     23.0     88     20.8    053    5.6        0
 110   948.8     600     22.8     87     20.6    052    5.3     2048
 115   946.4     623     22.6     87     20.4    051    5.1        0
 120   943.8     647     22.4     87     20.3    050    4.9        0
 125   941.1     672     22.3     88     20.1    048    4.7        0
 130   938.3     698     22.1     88     20.0    051    4.8        0
 135   935.5     724     21.8     88     19.8    054    4.9        0
 140   932.8     749     21.6     88     19.6    057    5.1        0
 145   930.1     775     21.4     88     19.5    059    5.2        0
 150   927.4     800     21.3     88     19.3    058    5.2        0
 154   925.0     822     21.2     88     19.2    058    5.2    65536
 155   924.5     826     21.2     88     19.1    058    5.2        0
 160   921.5     856     21.0     88     19.0    057    5.2        0
 165   918.5     884     20.9     88     18.9    056    5.2        0
 168   916.8     900     20.8     88     18.8    057    5.2     2048
 170   915.6     911     20.7     88     18.7    058    5.2        0
 175   912.9     937     20.6     88     18.5    060    5.3        0
 180   910.4     960     20.4     88     18.4    062    5.5        0
 185   907.9     985     20.3     88     18.3    064    5.6        0
 190   905.4    1008     20.1     88     18.2    065    5.7        0
 195   903.0    1031     20.0     89     18.1    066    5.9        0
 200   900.6    1055     19.8     89     18.0    067    6.0        0
 205   898.2    1077     19.7     90     17.9    068    6.2        0
 210   895.7    1101     19.5     90     17.8    070    6.3        0
 215   893.2    1126     19.3     90     17.7    071    6.4        0
 220   890.9    1148     19.1     91     17.6    073    6.4        0
 225   888.6    1170     18.9     92     17.5    074    6.5        0
 230   886.2    1193     18.6     92     17.3    074    6.6        0
 235   883.6    1219     18.4     93     17.2    073    6.6        0
 240   880.8    1247     18.2     93     17.1    072    6.7        0
