Table  Time-based BUFR (0309052) at 100 hPa
                  BUFR Data                     
TIME    PRES.   HGT/MSL  TEMP.   RH     DEWP   W.D    W.S     8042      
Sec      mb      Meter     °C      %      °C    Deg.  Knots   Code Table
------------------------------------------------------------------------
   0  1008.8      45     24.8     97     24.3    360    0.0   145408
   5  1005.3      76     24.9     89     23.0    342    4.5        0
  10  1002.2     103     25.1     85     22.5    348    3.9        0
  14  1000.0     122     25.3     84     22.5    357    3.3    65536
  15   999.3     129     25.4     84     22.5    360    3.2     2048
  20   996.3     155     25.6     83     22.6    356    2.5        0
  25   993.1     183     25.7     82     22.5    350    1.9        0
  30   989.8     213     25.7     81     22.4    349    1.5        0
  31   989.1     219     26.0     81     22.6    354    1.4     8192
  35   987.0     238     25.7     81     22.2    017    1.4        0
  40   984.2     262     25.5     80     21.8    070    1.3        0
  45   981.0     293     25.3     79     21.4    103    1.2        0
  46   980.2     300     25.5     79     21.6    103    1.2     2048
  46   980.1     300     25.5     79     21.6    103    1.2     4096
  50   977.7     322     25.1     79     21.2    106    1.1        0
  55   974.8     347     24.9     79     21.1    108    1.1        0
  60   972.2     371     24.7     79     21.0    111    1.1        0
  65   969.5     395     24.5     82     21.2    114    1.1        0
  70   966.5     423     24.2     84     21.3    122    1.0        0
  75   963.6     450     24.0     85     21.4    141    0.8        0
  80   960.8     474     23.9     85     21.3    188    0.7        0
  85   958.0     501     23.8     86     21.3    233    0.5        0
  90   955.3     525     23.6     86     21.2    237    0.9        0
  95   952.8     548     23.5     87     21.2    239    1.2        0
 100   950.5     569     23.6     87     21.3    240    1.5     4096
 105   948.0     593     23.3     86     20.8    241    1.9        0
 106   947.2     600     23.5     85     20.9    240    1.8     2048
 110   945.1     620     23.3     84     20.5    237    1.6        0
 115   942.2     646     23.2     83     20.1    232    1.4        0
 120   939.5     672     23.1     80     19.6    225    1.2        0
 125   936.6     698     23.0     78     19.1    214    0.9        0
 127   935.6     708     23.2     78     19.1    211    0.9     4096
 130   933.8     725     22.9     78     18.9    205    0.8        0
 135   931.0     752     22.7     78     18.7    189    0.7        0
 140   928.3     777     22.5     78     18.6    158    0.5        0
 145   925.7     800     22.5     79     18.8    120    0.4     2048
 146   925.0     807     22.3     79     18.6    128    0.5    65536
 150   923.0     827     22.2     80     18.6    146    0.6        0
 155   920.3     853     22.0     80     18.6    162    0.7        0
 160   917.5     878     21.9     81     18.4    172    0.9        0
 164   915.1     900     21.9     81     18.5    176    1.0     2048
 165   914.4     907     21.7     81     18.3    177    1.1        0
 170   911.2     939     21.5     81     18.2    184    1.2        0
 175   908.1     968     21.3     82     18.1    190    1.3        0
 180   904.9     999     21.1     82     18.0    195    1.4        0
 185   902.1    1026     20.9     83     17.9    200    1.5        0
 190   899.5    1051     20.8     83     17.9    203    1.7        0
 194   897.5    1071     20.9     84     18.1    205    1.9     4096
 195   897.0    1075     20.7     84     17.9    206    2.0        0
 200   894.7    1098     20.6     83     17.7    208    2.2        0
 205   892.3    1120     20.8     83     17.8    209    2.4     2048
 210   889.9    1144     20.5     82     17.3    207    2.4        0
 215   886.9    1172     20.3     81     16.9    204    2.3        0
 220   883.8    1206     20.2     79     16.6    201    2.3        0
 225   881.0    1232     20.0     79     16.4    198    2.2        0
