Table  Time-based BUFR (0309052) at 100 hPa
                  BUFR Data                     
TIME    PRES.   HGT/MSL  TEMP.   RH     DEWP   W.D    W.S     8042      
Sec      mb      Meter     °C      %      °C    Deg.  Knots   Code Table
------------------------------------------------------------------------
   0  1010.5      45     30.1     77     25.8    090    1.3   145408
   5  1006.9      77     28.9     75     24.1    115    4.1        0
   7  1005.2      92     28.5     74     23.4    115    4.3     4096
  10  1003.2     110     28.3     74     23.3    114    4.6        0
  14  1000.0     138     28.0     75     23.2    113    5.1    65536
  15   999.5     143     27.9     75     23.2    113    5.1        0
  20   996.1     174     27.6     76     23.1    112    5.2        0
  25   993.1     200     27.4     77     23.0    112    5.2        0
  30   990.6     222     27.2     77     23.0    112    5.2        0
  35   988.1     245     26.9     78     22.9    112    5.1        0
  40   985.5     268     26.7     79     22.9    112    5.1        0
  45   983.0     291     26.5     80     22.8    112    5.1        0
  47   982.0     300     26.4     80     22.8    113    5.0     2048
  50   980.6     312     26.3     80     22.7    114    4.9        0
  55   978.0     336     26.1     81     22.7    115    4.8        0
  60   975.3     361     25.9     82     22.6    117    4.6        0
  65   972.6     386     25.7     82     22.5    119    4.5        0
  70   970.1     408     25.4     83     22.4    120    4.8        0
  74   968.4     423     25.3     83     22.3    121    5.0     4096
  75   967.6     430     25.2     83     22.2    121    5.1        0
  80   965.1     454     25.1     82     21.9    122    5.4        0
  85   962.3     479     25.0     81     21.6    123    5.7     2048
  90   959.5     505     24.9     80     21.3    122    5.9        0
  95   956.9     529     24.9     78     20.9    121    6.2        0
 100   954.2     553     24.9     76     20.5    120    6.4        0
 105   951.4     580     24.7     76     20.3    119    6.6        0
 109   949.2     600     24.6     76     20.1    118    6.6     2048
 110   948.6     605     24.6     75     20.0    117    6.6        0
 115   945.8     632     24.4     75     19.7    116    6.6        0
 120   942.8     660     24.2     74     19.4    114    6.7        0
 125   939.8     688     24.1     73     19.1    113    6.7        0
 130   937.1     713     24.0     73     18.9    113    7.1        0
 135   934.2     740     23.9     72     18.6    113    7.4        0
 140   931.3     768     23.8     71     18.3    113    7.8        0
 145   928.2     796     23.5     71     18.1    114    8.2        0
 150   925.0     827     23.2     71     17.8    112    8.5    65536
 155   922.3     853     23.0     71     17.6    111    8.7        0
 160   919.3     881     22.8     71     17.4    110    8.9        0
 163   917.3     900     22.7     71     17.2    110    9.1     2048
 165   916.3     910     22.6     71     17.1    109    9.2        0
 167   915.3     920     22.5     71     17.0    109    9.2     4096
 170   913.3     938     22.4     71     17.0    109    9.1        0
 175   910.5     965     22.3     72     17.0    108    9.1        0
 180   907.8     991     22.1     72     17.0    108    9.1        0
 185   905.2    1016     21.9     74     17.1    107    9.0        0
 190   902.4    1043     21.6     76     17.2    109    8.9        0
 195   899.4    1072     21.4     77     17.2    110    8.7        0
 200   896.4    1101     21.2     77     17.1    112    8.5        0
 205   893.3    1132     21.0     77     16.9    113    8.4        0
 210   890.1    1162     20.8     77     16.8    112    8.3        0
 215   887.1    1192     20.6     78     16.7    111    8.1        0
 220   884.2    1220     20.5     78     16.6    110    8.0        0
 225   881.3    1248     20.4     77     16.2    109    7.9        0
 230   878.5    1277     20.3     75     15.8    108    8.2        0
 235   875.7    1304     20.2     74     15.5    108    8.5        0
