Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2000",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,141323226,141200749,125889655,134927663,129622120,140590395,150540064,137392686,145286836,151020852,160595431,160478728,1718868405
Santo Domingo,85123461,83637168,81952893,87743785,84288681,90679811,92632303,92208760,96881962,98747138,100382760,107330874,1101609596
Total,226446687,224837917,207842548,222671448,213910801,231270206,243172367,229601446,242168798,249767990,260978191,267809602,2820478001
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2001",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,185685464,139656845,164992430,167098181,171020658,183743349,182414399,181330638,189660145,180295162,186056459,171246344,2103200074
Santo Domingo,114558645,103326399,113194624,113471297,112293665,118442640,116003033,114391758,121337554,117993563,122879196,120235549,1388127923
Total,300244109,242983244,278187054,280569478,283314323,302185989,298417432,295722396,310997699,298288725,308935655,291481893,3491327997
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2002",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,177396819,190194366,171528201,189804393,192699991,202369786,205793917,208951255,188056559,193899799,211993494,174769431,2307458011
Santo Domingo,117234059,124831931,119792531,129711209,129116757,139186140,133758438,137756350,129797682,127166704,145723016,134676076,1568750893
Total,294630878,315026297,291320732,319515602,321816748,341555926,339552355,346707605,317854241,321066503,357716510,309445507,3876208904
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
